港澳台,#genre#
華視新聞,http://4gtv.cnlive.club/channel/n692bc32c/index.m3u8?q=1782639885837
民視台灣台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1782639885837
民視新聞台,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1782639885837
民視第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1782639885837
民視綜藝台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1782639885837
公視戲劇,http://4gtv.cnlive.club/channel/7fdd881e/index.m3u8?q=1782639885837
原住民族電視台,http://4gtv.cnlive.club/channel/4f20dc68/index.m3u8?q=1782639885837
客家電視台,http://4gtv.cnlive.club/channel/n855e5fe/index.m3u8?q=1782639885837
豬哥亮歌廳秀,http://4gtv.cnlive.club/channel/n4271efdd/index.m3u8?q=1782639885837
金光布袋戲,http://4gtv.cnlive.club/channel/n125d8ecd/index.m3u8?q=1782639885837
大愛二台,http://4gtv.cnlive.club/channel/n7d3932e9/index.m3u8?q=1782639885837
大愛電視,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1782639885837
人間衛視,http://4gtv.cnlive.club/channel/7ed5b6d3/index.m3u8?q=1782639885837
八大精彩台,http://4gtv.cnlive.club/channel/6626a9ca/index.m3u8?q=1782639885837
八大綜藝台,http://4gtv.cnlive.club/channel/662e9334/index.m3u8?q=1782639885837
尼克兒童頻道,http://4gtv.cnlive.club/channel/51bbda39/index.m3u8?q=1782639885837
影迷數位電影台,http://4gtv.cnlive.club/channel/n79da43c0/index.m3u8?q=1782639885837
達文西頻道,http://4gtv.cnlive.club/channel/n1d7d9ddb/index.m3u8?q=1782639885837
采昌影劇台,http://4gtv.cnlive.club/channel/n97ba44a/index.m3u8?q=1782639885837
靖天卡通台,http://4gtv.cnlive.club/channel/3ed78a45/index.m3u8?q=1782639885837
靖天戲劇台,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1782639885837
靖天日本台,http://4gtv.cnlive.club/channel/3f1816f7/index.m3u8?q=1782639885837
靖天映畫,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1782639885837
靖天綜合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1782639885837
靖天育樂台,http://4gtv.cnlive.club/channel/3f7d0a6e/index.m3u8?q=1782639885837
靖天資訊台,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1782639885837
靖天電影台,http://4gtv.cnlive.club/channel/3fcf6ae8/index.m3u8?q=1782639885837
靖洋卡通Nice Bingo,http://4gtv.cnlive.club/channel/n15c65427/index.m3u8?q=1782639885837
靖洋戲劇台,http://4gtv.cnlive.club/channel/48117ce7/index.m3u8?q=1782639885837
台灣傳奇-FastTV飛速看,http://4gtv.cnlive.club/channel/n496c6dde/index.m3u8?q=1782639885837
哆啦A夢-FastTV飛速看,http://4gtv.cnlive.club/channel/9fc6b5c/index.m3u8?q=1782639885837
國外電影精選-FastTV飛速看,http://4gtv.cnlive.club/channel/32bc6076/index.m3u8?q=1782639885837
客家好劇-FastTV飛速看,http://4gtv.cnlive.club/channel/n1f7f47/index.m3u8?q=1782639885837
懷舊經典電影-FastTV飛速看,http://4gtv.cnlive.club/channel/n424d08b7/index.m3u8?q=1782639885837
日韓電影大賞-FastTV飛速看,http://4gtv.cnlive.club/channel/n5541a0ca/index.m3u8?q=1782639885837
東離劍遊紀-FastTV飛速看,http://4gtv.cnlive.club/channel/nb3eed91/index.m3u8?q=1782639885837
精彩陸劇1台-FastTV飛速看,http://4gtv.cnlive.club/channel/n7179beac/index.m3u8?q=1782639885837
精彩陸劇2台-FastTV飛速看,http://4gtv.cnlive.club/channel/n69c8194d/index.m3u8?q=1782639885837
精選動漫台,http://4gtv.cnlive.club/channel/n1ecb3c7f/index.m3u8?q=1782639885837
精選華語電影-FastTV飛速看,http://4gtv.cnlive.club/channel/750a2ada/index.m3u8?q=1782639885837
經典卡通-FastTV飛速看,http://4gtv.cnlive.club/channel/53488299/index.m3u8?q=1782639885837
經典卡通台,http://4gtv.cnlive.club/channel/n2faf04ad/index.m3u8?q=1782639885837
經典迪士尼-FastTV飛速看,http://4gtv.cnlive.club/channel/n4ae53aed/index.m3u8?q=1782639885837
經典電影台,http://4gtv.cnlive.clu

4K测试,#genre#
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
苏州4k,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4

央视移动源,#genre#
CCTV1综合,http://119.233.255.62:1234/608807420
CCTV2财经,http://119.233.255.62:1234/631780532
CCTV3综艺,http://119.233.255.62:1234/624878271
CCTV4中文国际,http://119.233.255.62:1234/631780421
CCTV5体育,http://119.233.255.62:1234/641886683
CCTV5+体育赛事,http://119.233.255.62:1234/641886773
CCTV6电影,http://119.233.255.62:1234/624878396
CCTV7国防军事,http://119.233.255.62:1234/673168121
CCTV8电视剧,http://119.233.255.62:1234/624878356
CCTV9纪录,http://119.233.255.62:1234/673168140
CCTV10科教,http://119.233.255.62:1234/624878405
CCTV11戏曲,http://119.233.255.62:1234/667987558
CCTV12社会与法,http://119.233.255.62:1234/673168185
CCTV13新闻,http://119.233.255.62:1234/608807423
CCTV14少儿,http://119.233.255.62:1234/624878440
CCTV15音乐,http://119.233.255.62:1234/673168223
CCTV17农业农村,http://119.233.255.62:1234/673168256
CCTV4欧洲,http://119.233.255.62:1234/608807419
CCTV4美洲,http://119.233.255.62:1234/608807416
CGTN外语纪录,http://119.233.255.62:1234/609006487
CGTN阿拉伯语,http://119.233.255.62:1234/609154345
CGTN西班牙语,http://119.233.255.62:1234/609006450
CGTN法语,http://119.233.255.62:1234/609006476
CGTN俄语,http://119.233.255.62:1234/609006446
老故事,http://119.233.255.62:1234/884121956
发现之旅,http://119.233.255.62:1234/624878970
中学生,http://119.233.255.62:1234/708869532
CGTN,http://119.233.255.62:1234/609017205
东方卫视,http://119.233.255.62:1234/651632648
江苏卫视,http://119.233.255.62:1234/623899368
广东卫视,http://119.233.255.62:1234/608831231
北京卫视,http://119.233.255.62:1234/630287636
辽宁卫视,http://119.233.255.62:1234/630291707
河北卫视,http://119.233.255.62:1234/962042070
江西卫视,http://119.233.255.62:1234/783847495
河南卫视,http://119.233.255.62:1234/790187291
陕西卫视,http://119.233.255.62:1234/738910838
大湾区卫视,http://119.233.255.62:1234/608917627
湖北卫视,http://119.233.255.62:1234/947472496
吉林卫视,http://119.233.255.62:1234/947472500
青海卫视,http://119.233.255.62:1234/947472506
东南卫视,http://119.233.255.62:1234/849116810
海南卫视,http://119.233.255.62:1234/947472502
海峡卫视,http://119.233.255.62:1234/849119120
中国农林卫视,http://119.233.255.62:1234/956904896
兵团卫视,http://119.233.255.62:1234/956923145
宁夏卫视,http://119.233.255.62:1234/738910535
重庆卫视,http://119.233.255.62:1234/738910914
三沙卫视,http://119.233.255.62:1234/961023778
黑龙江卫视,http://119.233.255.62:1234/738906901

移动源,#genre#
CCTV1综合,http://119.233.255.62:1234/608807420
CCTV2财经,http://119.233.255.62:1234/631780532
CCTV3综艺,http://119.233.255.62:1234/624878271
CCTV4中文国际,http://119.233.255.62:1234/631780421
CCTV5体育,http://119.233.255.62:1234/641886683
CCTV5+体育赛事,http://119.233.255.62:1234/641886773
CCTV6电影,http://119.233.255.62:1234/624878396
CCTV7国防军事,http://119.233.255.62:1234/673168121
CCTV8电视剧,http://119.233.255.62:1234/624878356
CCTV9纪录,http://119.233.255.62:1234/673168140
CCTV10科教,http://119.233.255.62:1234/624878405
CCTV11戏曲,http://119.233.255.62:1234/667987558
CCTV12社会与法,http://119.233.255.62:1234/673168185
CCTV13新闻,http://119.233.255.62:1234/608807423
CCTV14少儿,http://119.233.255.62:1234/624878440
CCTV15音乐,http://119.233.255.62:1234/673168223
CCTV17农业农村,http://119.233.255.62:1234/673168256
CCTV4欧洲,http://119.233.255.62:1234/608807419
CCTV4美洲,http://119.233.255.62:1234/608807416
CGTN外语纪录,http://119.233.255.62:1234/609006487
CGTN阿拉伯语,http://119.233.255.62:1234/609154345
CGTN西班牙语,http://119.233.255.62:1234/609006450
CGTN法语,http://119.233.255.62:1234/609006476
CGTN俄语,http://119.233.255.62:1234/609006446
老故事,http://119.233.255.62:1234/884121956
发现之旅,http://119.233.255.62:1234/624878970
中学生,http://119.233.255.62:1234/708869532
CGTN,http://119.233.255.62:1234/609017205
东方卫视,http://119.233.255.62:1234/651632648
江苏卫视,http://119.233.255.62:1234/623899368
广东卫视,http://119.233.255.62:1234/608831231
北京卫视,http://119.233.255.62:1234/630287636
辽宁卫视,http://119.233.255.62:1234/630291707
河北卫视,http://119.233.255.62:1234/962042070
江西卫视,http://119.233.255.62:1234/783847495
河南卫视,http://119.233.255.62:1234/790187291
陕西卫视,http://119.233.255.62:1234/738910838
大湾区卫视,http://119.233.255.62:1234/608917627
湖北卫视,http://119.233.255.62:1234/947472496
吉林卫视,http://119.233.255.62:1234/947472500
青海卫视,http://119.233.255.62:1234/947472506
东南卫视,http://119.233.255.62:1234/849116810
海南卫视,http://119.233.255.62:1234/947472502
海峡卫视,http://119.233.255.62:1234/849119120
中国农林卫视,http://119.233.255.62:1234/956904896
兵团卫视,http://119.233.255.62:1234/956923145
宁夏卫视,http://119.233.255.62:1234/738910535
重庆卫视,http://119.233.255.62:1234/738910914
三沙卫视,http://119.233.255.62:1234/961023778
黑龙江卫视,http://119.233.255.62:1234/738906901
上海新闻综合,http://119.233.255.62:1234/651632657
上视东方影视,http://119.233.255.62:1234/617290047
上海第一财经,http://119.233.255.62:1234/608780988
南京新闻综合频道,http://119.233.255.62:1234/838109047
南京教科频道,http://119.233.255.62:1234/838153729
南京十八频道,http://119.233.255.62:1234/838151753
体育休闲频道,http://119.233.255.62:1234/626064707
江苏城市频道,http://119.233.255.62:1234/626064714
江苏国际,http://119.233.255.62:1234/626064674
江苏教育,http://119.233.255.62:1234/628008321
江苏影视频道,http://119.233.255.62:1234/626064697
江苏综艺频道,http://119.233.255.62:1234/626065193
公共新闻频道,http://119.233.255.62:1234/626064693
盐城新闻综合,http://119.233.255.62:1234/639731825
淮安新闻综合,http://119.233.255.62:1234/639731826
泰州新闻综合,http://119.233.255.62:1234/639731818
连云港新闻综合,http://119.233.255.62:1234/639731715
宿迁新闻综合,http://119.233.255.62:1234/639731832
徐州新闻综合,http://119.233.255.62:1234/639731747
优漫卡通频道,http://119.233.255.62:1234/626064703
江阴新闻综合,http://119.233.255.62:1234/955227979
南通新闻综合,http://119.233.255.62:1234/955227985
宜兴新闻综合,http://119.233.255.62:1234/955227996
溧水新闻综合,http://119.233.255.62:1234/639737327
陕西银龄频道,http://119.233.255.62:1234/956909362
陕西都市青春频道,http://119.233.255.62:1234/956909358
陕西秦腔频道,http://119.233.255.62:1234/956909303
陕西新闻资讯频道,http://119.233.255.62:1234/956909289
财富天下,http://119.233.255.62:1234/956923159
镇江新闻综合,http://119.233.255.62:1234/639731783
海南广播电视总台新闻频道,http://119.233.255.62:1234/962067517
海南广播电视总台自贸频道,http://119.233.255.62:1234/962045226
海南广播电视总台社会与法频道,http://119.233.255.62:1234/962045223
海南广播电视总台文旅频道,http://119.233.255.62:1234/962067526
海南广播电视总台少儿频道,http://119.233.255.62:1234/962067523
广东珠江频道,http://119.233.255.62:1234/639731952
赛事最经典,http://119.233.255.62:1234/646596895
体坛名栏汇,http://119.233.255.62:1234/629943305
四海钓鱼,http://119.233.255.62:1234/637444975
陕西体育休闲频道,http://119.233.255.62:1234/956909356

咪咕频道,#genre#
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV2,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807419
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807416
CCTV5,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV5,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV6,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV7,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV8,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV9,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV10,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV11,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV12,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV13,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV14,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV15,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV17,https://live.chinacert.cftest5.cn/cnmg/live/673168256

CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV4,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8

CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通 
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV10,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV11,http://1.192.1.147:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV12,http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV13,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV14,http://221.7.175.154:8445/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV15,http://1.192.1.147:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通

CGTN英语,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN阿语,https://arabic-liveali.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN西语,https://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8$
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8

湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
